observation_date,CANGDPDEFQISMEI_NBD20170101
1961-01-01,11.22445
1961-04-01,11.18885
1961-07-01,11.21471
1961-10-01,11.27194
1962-01-01,11.28839
1962-04-01,11.32688
1962-07-01,11.41579
1962-10-01,11.45468
1963-01-01,11.49167
1963-04-01,11.55831
1963-07-01,11.65918
1963-10-01,11.76536
1964-01-01,11.74978
1964-04-01,11.89386
1964-07-01,12.02380
1964-10-01,12.12687
1965-01-01,12.16598
1965-04-01,12.34780
1965-07-01,12.47017
1965-10-01,12.60795
1966-01-01,12.78553
1966-04-01,12.93722
1966-07-01,13.11393
1966-10-01,13.20030
1967-01-01,13.39123
1967-04-01,13.54461
1967-07-01,13.62174
1967-10-01,13.79875
1968-01-01,13.99352
1968-04-01,14.04983
1968-07-01,14.17732
1968-10-01,14.34135
1969-01-01,14.54979
1969-04-01,14.78068
1969-07-01,14.90309
1969-10-01,15.06104
1970-01-01,15.31514
1970-04-01,15.45599
1970-07-01,15.60819
1970-10-01,15.72033
1971-01-01,16.03003
1971-04-01,16.22617
1971-07-01,16.31114
1971-10-01,16.57264
1972-01-01,16.89574
1972-04-01,17.05527
1972-07-01,17.32594
1972-10-01,17.65408
1973-01-01,18.00131
1973-04-01,18.58644
1973-07-01,19.13834
1973-10-01,19.91206
1974-01-01,20.68461
1974-04-01,21.38793
1974-07-01,22.24543
1974-10-01,22.76935
1975-01-01,23.20507
1975-04-01,23.75673
1975-07-01,24.46304
1975-10-01,25.00764
1976-01-01,25.59938
1976-04-01,26.33640
1976-07-01,26.49448
1976-10-01,27.02887
1977-01-01,27.48493
1977-04-01,27.95419
1977-07-01,28.39855
1977-10-01,28.71443
1978-01-01,29.11526
1978-04-01,29.80089
1978-07-01,30.29956
1978-10-01,30.94269
1979-01-01,31.66716
1979-04-01,32.72330
1979-07-01,33.48519
1979-10-01,34.28628
1980-01-01,34.93443
1980-04-01,35.78954
1980-07-01,36.67022
1980-10-01,37.79446
1981-01-01,38.81155
